
Too Fast messages are printed when the interpolated speeds exceed
the following:
     Trains/Subway - 41 mph
     Express Buses - 41 mph
     Ferries       - 15 mph
     All others    - 30 mph

Route ID, Stop Group, TimePoints (sequence), time, distance, speed
  15646: B    10B-S-S-3     1- 10   hrs=0.0833 mi= 2.550 mph=30.6
  15652: X    11Y-N-W-2    33- 36   hrs=0.1000 mi= 3.219 mph=32.2
  15654: X    11Y-S-W-2    17- 19   hrs=0.1667 mi= 5.286 mph=31.7
   2037: B    13F-K-U-1    10- 12   hrs=0.0833 mi= 2.756 mph=33.1
   2038: B    13F-K-U-2     1-  3   hrs=0.0833 mi= 2.756 mph=33.1
    922: B    13G-C-S-1    34- 36   hrs=0.0667 mi= 2.378 mph=35.7
    923: B    13G-C-S-2    25- 27   hrs=0.0667 mi= 2.378 mph=35.7
    924: B    13G-C-U-1    34- 36   hrs=0.0667 mi= 2.378 mph=35.7
    925: B    13G-C-U-2    25- 27   hrs=0.0667 mi= 2.378 mph=35.7
    926: B    15K-E-W-1     6-  9   hrs=0.2000 mi= 6.309 mph=31.5
    927: B    15K-E-W-2    37- 40   hrs=0.2000 mi= 6.309 mph=31.5
    928: B    15K-W-W-1     1-  3   hrs=0.1500 mi= 5.485 mph=36.6
    929: B    15K-W-W-2     1-  3   hrs=0.1667 mi= 5.485 mph=32.9
  23361: B    15L-E-W-1     9- 11   hrs=0.0333 mi= 1.381 mph=41.4
    931: B    15M-E-W-1    31- 43   hrs=0.0667 mi= 2.130 mph=32.0
    932: B    15M-W-W-1    10- 23   hrs=0.0667 mi= 2.073 mph=31.1
  23362: B    16A-E-W-1    16- 31   hrs=0.0833 mi= 3.298 mph=39.6
  23363: B    16A-W-W-1    43- 54   hrs=0.1000 mi= 3.356 mph=33.6
  23365: B    16B-E-S-1    16- 31   hrs=0.0833 mi= 3.298 mph=39.6
  23373: B    16B-W-S-1    54- 65   hrs=0.0667 mi= 3.356 mph=50.3
  23367: B    16B-E-U-1    16- 31   hrs=0.0833 mi= 3.298 mph=39.6
  23375: B    16B-W-U-1    54- 65   hrs=0.0833 mi= 3.356 mph=40.3
  23364: B    16B-E-W-1    19- 23   hrs=0.0167 mi= 0.555 mph=33.3
  23371: B    16B-W-W-1    54- 65   hrs=0.0500 mi= 3.356 mph=67.1
  23379: B    16D-E-W-1    22- 37   hrs=0.0833 mi= 3.298 mph=39.6
  23380: B    16D-W-W-1    43- 54   hrs=0.1000 mi= 3.356 mph=33.6
  15673: B    16E-W-S-1    32- 48   hrs=0.1000 mi= 3.112 mph=31.1
  15668: B    16E-E-U-1    16- 31   hrs=0.0500 mi= 3.298 mph=66.0
  15674: B    16E-W-U-1    56- 67   hrs=0.0833 mi= 3.356 mph=40.3
  15665: B    16E-E-W-2    16- 31   hrs=0.0833 mi= 3.298 mph=39.6
  23393: B    16G-E-U-1     3-  7   hrs=0.0167 mi= 0.571 mph=34.2
  23398: B    16G-W-U-1     1-  7   hrs=0.0500 mi= 1.995 mph=39.9
  23389: B    16G-E-W-1    20- 25   hrs=0.0500 mi= 1.607 mph=32.1
  23390: B    16G-E-W-2    31- 36   hrs=0.0500 mi= 1.607 mph=32.1
  23408: B    16J-W-S-1    26- 33   hrs=0.0500 mi= 1.659 mph=33.2
   1555: B    16K-E-U-2     4- 10   hrs=0.0333 mi= 1.048 mph=31.4
   1494: B    16K-W-U-1    34- 42   hrs=0.0333 mi= 1.072 mph=32.2
   1639: B    16L-E-W-1     4- 19   hrs=0.1000 mi= 3.298 mph=33.0
   1640: B    16L-W-W-1     1-  7   hrs=0.1833 mi= 5.882 mph=32.1
   3044: X    17A-N-W-1     1- 10   hrs=0.1000 mi= 3.259 mph=32.6
   3046: X    17A-S-W-1     1-  3   hrs=0.1667 mi= 6.039 mph=36.2
   3048: X    17B-N-W-1     1-  9   hrs=0.0833 mi= 2.666 mph=32.0
   3049: X    17B-S-W-1     1-  3   hrs=0.1667 mi= 6.045 mph=36.3
    966: B    17F-N-W-1    14- 19   hrs=0.3000 mi=12.367 mph=41.2
    967: B    17F-S-W-1     1-  5   hrs=0.3000 mi=12.895 mph=43.0
    968: X    17G-N-W-1     1- 10   hrs=0.1000 mi= 3.259 mph=32.6
    969: X    17G-S-W-1     1-  5   hrs=0.3167 mi=12.996 mph=41.0
    970: X    17H-N-W-1    49- 54   hrs=0.3333 mi=12.942 mph=38.8
    971: X    17H-S-W-1     1-  5   hrs=0.3167 mi=12.860 mph=40.6
   2279: X    17K-N-W-1    42- 47   hrs=0.3333 mi=12.850 mph=38.6
   2280: X    17K-S-W-1     1-  5   hrs=0.3167 mi=13.170 mph=41.6
    972: X    17L-N-W-1    42- 47   hrs=0.3333 mi=12.807 mph=38.4
    973: X    17L-S-W-1     1-  5   hrs=0.3167 mi=12.994 mph=41.0
   3050: X    17M-N-W-1    43- 45   hrs=0.1833 mi= 6.066 mph=33.1
   3052: X    17M-S-W-1     1-  3   hrs=0.2000 mi= 6.045 mph=30.2
    974: X    18E-N-W-1    41- 52   hrs=0.2833 mi= 8.743 mph=30.9
    975: X    18E-S-W-1     1-  7   hrs=0.2500 mi= 9.688 mph=38.8
    977: B    18F-S-W-1     1-  3   hrs=0.1667 mi= 7.252 mph=43.5
    978: X    18G-N-W-1    34- 41   hrs=0.0500 mi= 2.505 mph=50.1
    979: X    18G-S-W-1     1-  3   hrs=0.2500 mi=10.884 mph=43.5
    980: X    18H-N-W-1    56- 63   hrs=0.0500 mi= 2.505 mph=50.1
    981: X    18H-S-W-1     1-  3   hrs=0.2500 mi=10.884 mph=43.5
    982: B    18J-N-W-1    10- 18   hrs=0.0667 mi= 2.080 mph=31.2
    983: B    18J-S-W-1     1-  4   hrs=0.2500 mi=10.700 mph=42.8
    984: X    18P-E-W-1     1- 18   hrs=0.1833 mi= 6.862 mph=37.4
    985: X    18P-W-W-1     1-  3   hrs=0.2333 mi=10.542 mph=45.2
   2043: B    18R-E-W-1    47- 50   hrs=0.0500 mi= 1.997 mph=39.9
   2044: B    18R-W-W-1    22- 31   hrs=0.0833 mi= 2.598 mph=31.2
    986: B    18S-E-W-1     1-  4   hrs=0.0667 mi= 2.011 mph=30.2
    987: B    18S-E-W-2     1- 18   hrs=0.1833 mi= 6.769 mph=36.9
    989: B    18S-W-W-2     3-  5   hrs=0.0500 mi= 1.513 mph=30.3
  23413: B     1A-E-S-1    18- 23   hrs=0.0667 mi= 3.494 mph=52.4
  23418: B     1A-W-S-1    48- 54   hrs=0.0833 mi= 2.629 mph=31.5
  23414: B     1A-E-U-1     1- 12   hrs=0.0833 mi= 3.422 mph=41.1
  23419: B     1A-W-U-1    48- 54   hrs=0.0833 mi= 2.629 mph=31.5
  23412: B     1A-E-W-1    18- 23   hrs=0.0667 mi= 3.494 mph=52.4
  23417: B     1A-W-W-2    48- 54   hrs=0.0833 mi= 2.629 mph=31.5
  15682: B     1B-E-W-1    12- 22   hrs=0.1000 mi= 3.146 mph=31.5
  15683: B     1B-W-W-1    52- 61   hrs=0.1000 mi= 3.339 mph=33.4
   2047: B     1C-E-S-1     1- 13   hrs=0.1000 mi= 3.244 mph=32.4
   2048: B     1C-E-S-2    20- 32   hrs=0.1000 mi= 3.244 mph=32.4
   2052: B     1C-W-S-1    10- 16   hrs=0.0833 mi= 2.711 mph=32.5
   2049: B     1C-E-U-1    11- 20   hrs=0.0667 mi= 2.014 mph=30.2
   2053: B     1C-W-U-1    10- 16   hrs=0.0667 mi= 2.711 mph=40.7
   2054: B     1C-W-U-2    16- 25   hrs=0.0833 mi= 3.112 mph=37.3
   2045: B     1C-E-W-1     1- 13   hrs=0.0667 mi= 3.244 mph=48.7
   2046: B     1C-E-W-2    32- 38   hrs=0.0500 mi= 1.880 mph=37.6
   2050: B     1C-W-W-1     9- 15   hrs=0.0500 mi= 2.711 mph=54.2
